params,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 5}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 10}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 20}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 20}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 5}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 10}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 20}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 10, 'estimator__min_samples_split': 2}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 10, 'estimator__min_samples_split': 5}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 10, 'estimator__min_samples_split': 10}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 10, 'estimator__min_samples_split': 20}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2}",0.6022379026506892,0.011396894009510546,494,0.6087888531618435,0.5863586358635864,0.5793478260869566,0.6196880043033889,0.5893246187363834,0.6170678336980306,0.6022788931090614,0.6042692939244664,0.5946535733769777,0.6057268722466961,0.5922989807474519,0.5967741935483871,0.6158868335146899,0.5997782705099778,0.5945945945945946,0.5979381443298969,0.6040637012630423,0.598572213069742,0.6158008658008658,0.5996740901683868,0.6011808910359635,0.5823204419889503,0.6,0.5974165769644779,0.6026954177897574,0.6272123893805309,0.6086021505376344,0.6209850107066381,0.5904017857142857,0.6134361233480177
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 5}",0.6004605986527015,0.010086443500865903,499,0.6126840317100792,0.5969626168224299,0.603156049094097,0.6034883720930233,0.5868680999418943,0.6089887640449438,0.5861664712778429,0.6070398153491056,0.6048387096774194,0.602615122228539,0.5844535359438925,0.5963091118800461,0.6029154518950437,0.5964099594672843,0.5996493278784336,0.6143867924528302,0.6037514654161782,0.6067019400352733,0.6115606936416185,0.6073654390934844,0.5890489913544669,0.5887905604719764,0.5699177438307873,0.6097560975609756,0.6048667439165701,0.6019755955839629,0.6173264486517499,0.5987261146496815,0.5945633314054367,0.6025345622119815
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 10}",0.6136862162854483,0.014379101365174552,437,0.6435586366262276,0.6207701283547258,0.5938215102974829,0.6044083526682135,0.6018411967779056,0.6318807339449541,0.6103286384976526,0.6223250433776749,0.6099125364431487,0.5963248369887374,0.6025345622119815,0.5988372093023255,0.6128461991750147,0.6032295271049596,0.6261792452830188,0.6133333333333333,0.6201550387596899,0.6205278592375366,0.624927536231884,0.6129779837775203,0.5782431646305992,0.5946902654867257,0.6228020419739081,0.6186392224128073,0.6214757048590281,0.6136631330977621,0.6367299942429476,0.6280023432923257,0.5961199294532628,0.629500580720093
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 20}",0.631438948027427,0.013889626343274406,198,0.640279394644936,0.6258102533883324,0.6376146788990825,0.6389891696750902,0.6083832335329341,0.647162083089526,0.6215895610913404,0.6473988439306358,0.6398601398601399,0.6526806526806527,0.6255192878338279,0.6370023419203747,0.6454598033545402,0.6379208505611341,0.634232121922626,0.6106408706166868,0.6324582338902148,0.6183745583038869,0.6543778801843319,0.6398184912081679,0.6114725014784151,0.6057692307692307,0.614939200926462,0.6435586366262276,0.6330764671013633,0.6254375729288215,0.6473317865429234,0.6235921754593954,0.6074600355239786,0.6349583828775267
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2}",0.6192514129531637,0.017166593941993456,381,0.6315165876777251,0.6103575832305795,0.6308884913536076,0.615112160566706,0.593881223755249,0.66270783847981,0.5960099750623441,0.6497584541062802,0.6229307173513182,0.626360338573156,0.603003003003003,0.6054931335830213,0.6266094420600858,0.6140878988561108,0.6162361623616236,0.6100478468899522,0.6244131455399061,0.6067961165048543,0.6501474926253688,0.5991611743559018,0.6353623188405797,0.598014888337469,0.624492164828787,0.6222222222222222,0.5935796486977589,0.6372963186481593,0.631578947368421,0.6139817629179332,0.6020719073735528,0.6234234234234234
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5}",0.6207159695093539,0.01674613413264469,364,0.6272401433691757,0.6266195524146054,0.6161137440758294,0.6,0.5911568746214415,0.626360338573156,0.6156583629893239,0.6178194607268465,0.6136087484811664,0.6341463414634146,0.6257378984651711,0.6141078838174274,0.6495828367103695,0.6168559473998805,0.6136363636363636,0.6337854500616523,0.6085874299937772,0.6281895504252734,0.6427718040621266,0.6299120234604105,0.6103575832305795,0.6072974644403216,0.5878048780487805,0.6239520958083832,0.6278511404561825,0.6528681253696038,0.6481371969248965,0.6388059701492538,0.5907120743034056,0.6018018018018018
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10}",0.629560226649107,0.016179218060461836,224,0.6643757159221076,0.6349206349206349,0.6359882005899705,0.6191877575044143,0.6115702479338843,0.6460606060606061,0.6112469437652812,0.6404692082111437,0.6487775790101371,0.6491017964071857,0.6181599518941672,0.6292004634994206,0.6391021854695806,0.6032707450030285,0.6169950738916257,0.6252263126131563,0.6191616766467066,0.6124460874922982,0.6568742655699178,0.6391152502910361,0.6054711246200608,0.6110444177671068,0.6150206978119456,0.6333949476278496,0.6435944140862173,0.6344410876132931,0.645123384253819,0.6249254621347644,0.6078431372549019,0.6446974236069503
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 20}",0.6341672087694032,0.01751806210921411,165,0.6544811320754716,0.6493975903614457,0.6303175554224086,0.6234866828087167,0.6509711595055915,0.6379928315412187,0.6392132759680393,0.6611861421021726,0.6308724832214765,0.609181141439206,0.6537764350453172,0.6264061574896388,0.6475849731663685,0.6106778644271146,0.6428571428571429,0.6187845303867403,0.6387370977534912,0.6380145278450363,0.650994575045208,0.6230910201588271,0.6135265700483091,0.6222493887530562,0.6362573099415205,0.6539379474940334,0.6175567833026396,0.6666666666666666,0.6165137614678899,0.6446280991735537,0.5889724310776943,0.6266829865361077
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2}",0.6345318684700089,0.017965766873061225,161,0.6690058479532164,0.6538692261547691,0.6394230769230769,0.631055900621118,0.6320191158900836,0.6282282282282282,0.6250749850029994,0.6536585365853659,0.6439257929383603,0.6535480023852117,0.6180048661800487,0.6363636363636364,0.6539379474940334,0.6117353308364545,0.6442542787286064,0.6364172068355922,0.6267392619479734,0.6150943396226415,0.6571767497034401,0.6322657176749703,0.5889646621202728,0.6151035322777101,0.6495626822157434,0.5996298581122764,0.6480920654149,0.6502699460107978,0.6330049261083743,0.6411657559198543,0.6116098144823459,0.6367547633681623
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 5}",0.6339858286943194,0.017563551907642815,168,0.6631578947368421,0.6194581280788177,0.617505995203837,0.6451219512195122,0.6119402985074627,0.6339444115907746,0.615573267933783,0.648910411622276,0.6472727272727272,0.6447761194029851,0.6070326958667489,0.6285018270401949,0.6503667481662592,0.6243127672571778,0.6630888491353608,0.6238185255198487,0.6461352657004831,0.6218787158145065,0.6382460414129111,0.6197516262566529,0.6393244873341375,0.6179275270184361,0.6241569589209074,0.6419452887537994,0.6408706166868199,0.6602756141402037,0.6305970149253731,0.646172393007836,0.589711417816813,0.6577992744860943
