params,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score
"{'estimator__n_neighbors': 1, 'estimator__weights': 'uniform'}",0.5717547701394086,0.014691193903483923,15,0.5867813003761418,0.5503355704697986,0.54,0.5826859045504994,0.5627418463239359,0.5851183765501691,0.5552439708356702,0.5829255029907559,0.5753424657534246,0.5835214446952596,0.5783664459161147,0.556407447973713,0.5987549518958687,0.5709552733296521,0.5621917808219178,0.559463986599665,0.580828133862734,0.5796143250688706,0.587651598676957,0.5594250967385296,0.555008210180624,0.5671981776765376,0.5760445682451254,0.5605726872246696,0.5778263244128892,0.5709459459459459,0.5919137466307277,0.578220011055832,0.5448354143019296,0.5917225950782998
"{'estimator__n_neighbors': 1, 'estimator__weights': 'distance'}",0.5717547701394086,0.014691193903483923,15,0.5867813003761418,0.5503355704697986,0.54,0.5826859045504994,0.5627418463239359,0.5851183765501691,0.5552439708356702,0.5829255029907559,0.5753424657534246,0.5835214446952596,0.5783664459161147,0.556407447973713,0.5987549518958687,0.5709552733296521,0.5621917808219178,0.559463986599665,0.580828133862734,0.5796143250688706,0.587651598676957,0.5594250967385296,0.555008210180624,0.5671981776765376,0.5760445682451254,0.5605726872246696,0.5778263244128892,0.5709459459459459,0.5919137466307277,0.578220011055832,0.5448354143019296,0.5917225950782998
"{'estimator__n_neighbors': 3, 'estimator__weights': 'uniform'}",0.6033798737784447,0.013365049583776474,13,0.611830985915493,0.5859056493884682,0.5835266821345708,0.6151202749140894,0.6052631578947368,0.6182452062754212,0.5888563049853373,0.607899255867201,0.6166375799883653,0.5968402574605032,0.6105383734249714,0.5818181818181818,0.6300409117475161,0.6088965915655691,0.6099942561746123,0.5901060070671378,0.5896834701055099,0.6161026837806302,0.6116279069767442,0.5957690108633504,0.5814771395076201,0.5978898007033998,0.5941860465116279,0.5963923337091319,0.6175275681950088,0.6008182349503215,0.6185332575326891,0.6196702671972711,0.5849941383352872,0.6152046783625731
"{'estimator__n_neighbors': 3, 'estimator__weights': 'distance'}",0.5960761718832369,0.014879727412422968,14,0.6081229418221734,0.5735546651402404,0.577424844015882,0.608843537414966,0.5925925925925926,0.6130884041331802,0.5727482678983834,0.6070826306913997,0.6077097505668935,0.5888501742160279,0.6002265005662514,0.5730337078651685,0.6257952573742047,0.5905197030268418,0.600451467268623,0.5775711795467752,0.590354445090064,0.611333714939897,0.607854297097325,0.5973154362416108,0.5782583949914627,0.5781158572264482,0.5896551724137931,0.5982142857142857,0.6062322946175638,0.5959654178674352,0.6165831942125766,0.6118568232662193,0.5742345465049105,0.6086956521739131
"{'estimator__n_neighbors': 5, 'estimator__weights': 'uniform'}",0.6131842359919769,0.014124478553590494,10,0.6288951841359773,0.5884455032757594,0.5914489311163895,0.6016451233842538,0.6132241076653013,0.6381231671554253,0.6118343195266273,0.6253618992472496,0.6132404181184669,0.6188500296384114,0.6086448598130841,0.614065180102916,0.6453900709219859,0.6080843585237259,0.6304347826086957,0.5932504440497336,0.6015672091621459,0.6273364485981309,0.6178194607268465,0.6090534979423868,0.5926800472255017,0.5906921241050119,0.6091612135633552,0.6088454910970706,0.6130952380952381,0.6169212690951822,0.6268136970400464,0.6212566059894304,0.6017804154302671,0.6275659824046921
"{'estimator__n_neighbors': 5, 'estimator__weights': 'distance'}",0.6056863066798076,0.016268809259684446,12,0.6248612652608213,0.583865351131747,0.5812167749556999,0.5972060535506403,0.5988505747126437,0.6374639769452449,0.5836758661186142,0.6229321163719338,0.6070398153491056,0.6129411764705882,0.6070398153491056,0.6003411028993746,0.6368452030606239,0.5958429561200924,0.6128482092097783,0.5858823529411765,0.6060606060606061,0.6157407407407407,0.619102416570771,0.5978072706289671,0.5897287939988459,0.5726240286909743,0.6039719626168224,0.6068571428571429,0.6047591410330818,0.6176980913823019,0.626984126984127,0.6060254924681344,0.5885815185403178,0.6257952573742047
"{'estimator__n_neighbors': 7, 'estimator__weights': 'uniform'}",0.6174451868894123,0.012684619313006806,6,0.6395881006864989,0.6031363088057901,0.6107784431137725,0.6114421930870083,0.6168559473998805,0.6358792184724689,0.6031363088057901,0.6212914485165794,0.6202830188679245,0.6182033096926713,0.6047337278106509,0.6051401869158879,0.6473372781065089,0.6317016317016317,0.6314553990610329,0.5972471573907839,0.6131386861313869,0.6190476190476191,0.6311426879810539,0.6140350877192983,0.6007109004739336,0.6079136690647482,0.6138259833134684,0.6071220081727963,0.6148325358851675,0.6137566137566137,0.6324985439720443,0.6283029947152085,0.6007194244604317,0.628099173553719
"{'estimator__n_neighbors': 7, 'estimator__weights': 'distance'}",0.6104098829961182,0.014473869837574278,11,0.6288951841359773,0.5983606557377049,0.5896980461811723,0.6115023474178404,0.6037514654161782,0.6326291079812206,0.5857740585774058,0.6237905520774046,0.6157434402332361,0.6115992970123023,0.6020881670533643,0.6080459770114942,0.6391995291347852,0.6127906976744186,0.6152954808806489,0.5850178359096314,0.6115107913669064,0.6143024618991794,0.6260971328262142,0.6086956521739131,0.5947826086956521,0.5862686567164179,0.6052785923753665,0.6027713625866051,0.6155646576945583,0.6198491004062682,0.6279470960322024,0.6226851851851852,0.5881649731022116,0.6241963763880771
"{'estimator__n_neighbors': 9, 'estimator__weights': 'uniform'}",0.621397089375618,0.013614702295022776,4,0.6474985623921794,0.6120218579234973,0.5976047904191617,0.629080118694362,0.6237448316597756,0.6446670595167944,0.6127864897466827,0.6304728546409807,0.6199880311190904,0.6208955223880597,0.6152032999410725,0.6225087924970691,0.6412395709177592,0.6198347107438017,0.6332737030411449,0.5909365558912387,0.613705275924803,0.6353361094586556,0.6412661195779601,0.6085430076067876,0.6075494307968844,0.608538785327721,0.6128838049367851,0.6117921774664331,0.62590799031477,0.6162927981109799,0.6297169811320755,0.6220657276995305,0.6075044669446099,0.6390532544378699
"{'estimator__n_neighbors': 9, 'estimator__weights': 'distance'}",0.6139425753173825,0.015179973618264998,9,0.6310403638430927,0.6050119331742243,0.5935637663885578,0.615112160566706,0.6143024618991794,0.6350877192982456,0.5902819436112777,0.6346483704974271,0.6185446009389671,0.6045130641330166,0.6065573770491803,0.6092485549132948,0.6461173681090694,0.6143024618991794,0.6225319396051103,0.5822328931572629,0.6189624329159212,0.6247058823529412,0.6332945285215367,0.6119402985074627,0.5975250441956393,0.5918854415274463,0.6007109004739336,0.6048387096774194,0.6221170904790065,0.619520748100526,0.6284722222222222,0.6170830912260313,0.595820895522388,0.6283029947152085
