params,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score
{'estimator__reg_param': 0.0},0.5676839160715943,0.027545761001408594,5,0.509133082052769,0.582078853046595,0.5774946921443737,0.5743338008415148,0.5758103868943882,0.5772759350741002,0.5900709219858156,0.583127426756089,0.5098039215686274,0.5779036827195467,0.5139664804469274,0.5786516853932584,0.5924865831842576,0.5888216447134211,0.5780104712041885,0.5661971830985916,0.5836575875486382,0.591217422349161,0.5808510638297872,0.5101431980906921,0.5880269217144881,0.5764411027568922,0.5819327731092437,0.5769764216366158,0.5859649122807018,0.5202661826981246,0.5897435897435898,0.576128806440322,0.5733522324592487,0.5206485163658611
{'estimator__reg_param': 0.1},0.6362895954111438,0.009066880740131233,1,0.6427364864864865,0.6348122866894198,0.6298016040523428,0.6330578512396694,0.6260364842454395,0.6455906821963394,0.6365173288250211,0.6418918918918919,0.6334578663345787,0.6386411889596603,0.6317553414327608,0.6256751142501039,0.6473308112652375,0.6402027027027027,0.6364392678868552,0.6299615877080665,0.6489001692047377,0.6323777403035413,0.6563285834031852,0.6178451178451179,0.6341463414634146,0.626916524701874,0.6462955211385517,0.6307501036054703,0.6496815286624203,0.6375472490550189,0.6463973344439816,0.6310962901208838,0.6172006745362564,0.6392961876832844
{'estimator__reg_param': 0.2},0.6330902732379187,0.01037481351138859,2,0.6341232227488152,0.6292565947242206,0.6324868231911835,0.6290322580645161,0.6257554625755463,0.642690331620738,0.628900624099856,0.6394366197183099,0.6188257222739981,0.648854961832061,0.620199146514936,0.6224489795918368,0.6526019690576652,0.632768361581921,0.6381395348837209,0.6277939747327502,0.6418199419167473,0.6212121212121212,0.6509211147850732,0.6215704824976348,0.6270218839200761,0.6245283018867924,0.6359753203607024,0.6247042120208235,0.6396917148362236,0.6454674893213099,0.6376811594202898,0.6474149976711691,0.6108986615678776,0.6404862085086489
{'estimator__reg_param': 0.3},0.6185488854098279,0.01348904172054173,3,0.6295479603087101,0.6151260504201681,0.6004415011037527,0.610595303113053,0.6221743810548978,0.628755364806867,0.6153846153846154,0.632952691680261,0.6038751345532831,0.6213377556661138,0.5926333150082463,0.6054054054054054,0.6421514818880352,0.6056644880174292,0.6351791530944625,0.61188228761799,0.6273428886438809,0.6119805720453318,0.6422319474835886,0.612691466083151,0.5928767123287672,0.6189427312775331,0.6048298572996706,0.6232914160743576,0.6235489220563848,0.6339622641509434,0.6303879310344828,0.6232914160743576,0.6035437430786268,0.6344378055404671
{'estimator__reg_param': 0.4},0.5835577436083377,0.013479813658140887,4,0.6031152647975078,0.5784499054820416,0.5584905660377358,0.5880893300248139,0.582356570018507,0.5896958410924892,0.5669586983729662,0.5982800982800983,0.5803627267041901,0.590823381521056,0.568039950062422,0.5802469135802469,0.6066291432145091,0.5687616677037959,0.5851851851851851,0.5601023017902813,0.5965130759651308,0.5852737570799245,0.6007509386733417,0.5752753977968176,0.5667915106117354,0.5881619937694704,0.5678859268443893,0.5821831869510665,0.6036318096430808,0.5964042157470552,0.59727385377943,0.5846153846153846,0.5650793650793651,0.591304347826087
{'estimator__reg_param': 0.5},0.526761856748115,0.01539958333356782,6,0.5487214927436075,0.5082084225553176,0.49929078014184397,0.5255878284923928,0.5320600272851296,0.5467032967032966,0.5115952213633169,0.5375170532060027,0.5331472435450104,0.5328621908127208,0.5010467550593162,0.5354439091534756,0.5356643356643357,0.5127850725639254,0.5283812193412754,0.4985835694050991,0.5430555555555555,0.5319298245614035,0.5555555555555556,0.5140893470790378,0.5108771929824562,0.5202797202797202,0.5059068797776234,0.5290412876137159,0.5449477351916376,0.5347222222222222,0.5480769230769231,0.5275482093663911,0.5246826516220028,0.5245441795231417
{'estimator__reg_param': 0.6},0.39416469493755374,0.017661107412591512,7,0.4059161873459326,0.37766830870279144,0.38064516129032255,0.37012448132780085,0.40861931364724663,0.4032,0.3793949304987735,0.42505947660586835,0.40258690379951495,0.38767234387672345,0.39838056680161943,0.3772357723577236,0.3911620294599018,0.38287560581583197,0.4009700889248181,0.3666391412056152,0.4087237479806139,0.40192926045016075,0.42487883683360256,0.3888,0.3465346534653465,0.40065412919051513,0.3858520900321543,0.3928280358598207,0.40551500405515006,0.4099279423538831,0.41620333598093723,0.4191235059760956,0.3831544178364988,0.38266557645134913
{'estimator__reg_param': 0.7},0.1494529902870866,0.01362788434214214,8,0.1565906838453915,0.1415929203539823,0.13280475718533202,0.16094210009813542,0.1294820717131474,0.1702127659574468,0.15142576204523106,0.1504950495049505,0.1627450980392157,0.13902681231380337,0.14484126984126985,0.137524557956778,0.1294820717131474,0.16683022571148184,0.1488095238095238,0.16879293424926398,0.1678048780487805,0.14031620553359683,0.1477832512315271,0.14807502467917077,0.13880742913000976,0.1582591493570722,0.1513094083414161,0.1482213438735178,0.15960591133004925,0.14285714285714285,0.18410852713178294,0.13160518444666003,0.13052208835341367,0.14271555996035679
{'estimator__reg_param': 0.8},0.019579877793660366,0.005822817519653399,9,0.02159827213822894,0.01939655172413793,0.015151515151515152,0.019417475728155338,0.015184381778741865,0.02583423035522067,0.02159827213822894,0.02159827213822894,0.019522776572668113,0.015184381778741865,0.017316017316017316,0.01939655172413793,0.015167930660888408,0.01948051948051948,0.01948051948051948,0.017278617710583154,0.03017241379310345,0.030042918454935622,0.008705114254624592,0.01948051948051948,0.015135135135135135,0.01950162513542795,0.021436227224008574,0.01948051948051948,0.03007518796992481,0.030139935414424113,0.019438444924406047,0.013015184381778741,0.004357298474945534,0.023809523809523808
{'estimator__reg_param': 0.9},0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
{'estimator__reg_param': 1.0},0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
