params,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 5}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 10}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 20}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 20}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 5}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 10}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 20}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 10, 'estimator__min_samples_split': 2}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 10, 'estimator__min_samples_split': 5}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 10, 'estimator__min_samples_split': 10}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'auto', 'estimator__min_samples_leaf': 10, 'estimator__min_samples_split': 20}",,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 2}",0.6021909461078295,0.016238145140493498,490,0.6147186147186147,0.5878489326765188,0.5763274336283186,0.598705501618123,0.5992260917634052,0.6146123814835471,0.5989130434782609,0.6085544125609096,0.6016172506738544,0.6091703056768559,0.5893246187363834,0.5799782372143635,0.6154684095860566,0.6261631089217297,0.6241970021413277,0.5938189845474614,0.6079825041006014,0.5992217898832685,0.6095965103598692,0.6082308925708177,0.5927505330490405,0.5679423183582918,0.6083650190114068,0.6108427267847558,0.5809994508511807,0.6034197462768891,0.6095853527194399,0.620651573716179,0.5699888017917133,0.6375068343357025
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 5}",0.6012457314756308,0.01758935276605002,493,0.621773288439955,0.5944380069524913,0.5825471698113207,0.5899532710280374,0.575811209439528,0.6219162363740677,0.5659701492537313,0.6132879045996593,0.6006944444444444,0.6071220081727963,0.5944055944055944,0.6043249561659848,0.6035570854847964,0.6033390903857225,0.6319910514541387,0.5963464938126105,0.6061663757998836,0.6110787172011661,0.6141552511415526,0.606640405177265,0.5943122460824144,0.5639810426540285,0.5816503173687247,0.5991855730075626,0.6210892236384704,0.6159954622802042,0.6139747995418099,0.6181606519208381,0.5650904845300642,0.6184134337000579
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 10}",0.6166415191894432,0.011751213654361128,415,0.6050991501416431,0.6283084004602992,0.6090487238979119,0.6172553561088593,0.6050029086678301,0.6257309941520468,0.6086441681468324,0.622969837587007,0.6331955109273479,0.6070175438596491,0.6012842965557501,0.6051401869158879,0.6201729106628242,0.6252983293556086,0.626970227670753,0.6096698113207547,0.6202759448110378,0.6198491004062682,0.6192419825072887,0.6292654713707345,0.5940366972477065,0.6030805687203792,0.6070806732443412,0.6190201729106628,0.6252178965717606,0.6184834123222749,0.6445334859759588,0.6239907727797002,0.5950704225352113,0.6292906178489702
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__min_samples_leaf': 1, 'estimator__min_samples_split': 20}",0.6286860258107584,0.015661069033547356,237,0.6331187829139848,0.6234676007005254,0.6052478134110787,0.6421911421911422,0.5963248369887374,0.6148367952522256,0.6271487848251334,0.6367924528301887,0.6382978723404256,0.655373831775701,0.626951995373048,0.6180758017492711,0.625,0.6279620853080569,0.666283084004603,0.6244825547013602,0.639018691588785,0.619500594530321,0.646441073512252,0.6284090909090909,0.6206896551724138,0.6193548387096774,0.6222746022392457,0.6168115942028985,0.632438739789965,0.6172106824925816,0.645933014354067,0.6565597667638484,0.6001209921355112,0.6342620035566093
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 2}",0.6205970130112879,0.015407660263132615,360,0.6464056107539451,0.6132530120481928,0.6208503203261503,0.6247755834829444,0.5940353012781497,0.6265206812652068,0.5990220048899756,0.6246317030053035,0.6295631358467983,0.6212664277180406,0.6026038437693738,0.6301369863013698,0.6344086021505376,0.6216053108026554,0.6333333333333333,0.5965583173996176,0.6150030998140111,0.6095592799503414,0.6342925659472423,0.6332945285215367,0.6105263157894737,0.6017804154302671,0.5880952380952381,0.6280487804878049,0.6440468846391116,0.6258992805755396,0.6323268206039077,0.6372202591283863,0.601113172541744,0.6377335744424352
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 5}",0.621052548230773,0.019462209528512898,352,0.6187311178247734,0.6069049061175046,0.5949519230769231,0.6266901822457378,0.6015672091621459,0.625,0.6085874299937772,0.6254501800720288,0.6306954436450839,0.6207317073170732,0.6193939393939394,0.6075494307968844,0.6423800850030358,0.630005977286312,0.6534296028880866,0.6446280991735537,0.6171923314780458,0.59875,0.6522522522522523,0.607773851590106,0.5989110707803993,0.5859714463066419,0.6120023767082591,0.6155717761557178,0.6496969696969697,0.6443914081145584,0.6586826347305389,0.6281895504252734,0.5875776397515527,0.6179159049360147
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 10}",0.6321672715611268,0.015574327728246027,201,0.6397590361445783,0.6346272335181762,0.6178571428571429,0.6388888888888888,0.6240378922439314,0.6503210741389376,0.6204744069912609,0.6550522648083623,0.6215092097445039,0.6580188679245284,0.6168559473998805,0.5923682616596002,0.6476306196840826,0.6395631067961165,0.6370820668693009,0.6141235813366961,0.621654501216545,0.6228287841191067,0.6512180629827689,0.6423188405797101,0.6334733053389322,0.6199880311190904,0.6239419588875453,0.6467547386559449,0.6202134337727558,0.6364749082007344,0.6520190023752969,0.6476868327402135,0.6044226044226044,0.6338535414165666
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__min_samples_leaf': 2, 'estimator__min_samples_split': 20}",0.63333478120342,0.012162221043524834,179,0.642148277875073,0.6183574879227053,0.6222222222222222,0.6320141760189013,0.631452581032413,0.627520759193357,0.6147393648891551,0.6395821242019734,0.6454378444580526,0.6388384754990926,0.6332518337408313,0.6211401425178147,0.6493349455864571,0.6198691255205235,0.6538685282140779,0.6314481044126787,0.6445383222691611,0.63202416918429,0.6450471698113207,0.6325951164111301,0.6070785842831433,0.6248492159227985,0.6414027149321267,0.6199395770392749,0.6379928315412187,0.6457717327025428,0.6239520958083832,0.6561032863849765,0.6206060606060606,0.6469165659008465
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 2}",0.6318053728538875,0.018656222723645057,206,0.6518873576992211,0.630731102850062,0.6410564225690276,0.6281895504252734,0.6160237388724036,0.6448152562574494,0.6072319201995012,0.6732329084588644,0.635223880597015,0.6360893180446591,0.6516007532956686,0.5971796443899449,0.6558558558558558,0.6155778894472361,0.6553603876438522,0.6430348258706468,0.6195121951219512,0.6308884913536076,0.6579727326615293,0.6145584725536993,0.6070559610705596,0.5968331303288672,0.6337349397590362,0.6157728706624606,0.634862385321101,0.6504161712247325,0.627378759975445,0.6429003021148036,0.6157605375687233,0.6234234234234234
"{'estimator__criterion': 'gini', 'estimator__max_depth': None, 'estimator__max_features': 'sqrt', 'estimator__min_samples_leaf': 4, 'estimator__min_samples_split': 5}",0.6363453461147338,0.015335418264678683,142,0.6396713615023474,0.6258179654967282,0.6444444444444445,0.6335329341317365,0.6568013659647126,0.6518431831480398,0.6052303860523038,0.640615748963884,0.6492401215805471,0.6361951822112415,0.6450471698113207,0.6275695284159613,0.6512477175897748,0.6394142769981697,0.6718844069837447,0.6183574879227053,0.6278787878787879,0.6278787878787879,0.6506765067650676,0.6374695863746959,0.6175942549371634,0.6143302180685358,0.6338672768878718,0.6574850299401198,0.634207240948814,0.6417112299465241,0.6319018404907976,0.6445264452644527,0.6001255492780917,0.6337943475646423
