params,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score
{'estimator__reg_param': 0.0},0.5660829973469809,0.030631769690153528,11,0.5058992805755396,0.582078853046595,0.5774946921443737,0.5743338008415148,0.5758103868943882,0.5772759350741002,0.5900709219858156,0.583127426756089,0.5023255813953489,0.5779036827195467,0.5119673088149446,0.5786516853932584,0.5924865831842576,0.5888216447134211,0.5780104712041885,0.5661971830985916,0.5836575875486382,0.591217422349161,0.5808510638297872,0.5029342723004695,0.5880269217144881,0.5764411027568922,0.5819327731092437,0.5769764216366158,0.5859649122807018,0.507427905621905,0.5897435897435898,0.576128806440322,0.5733522324592487,0.5053794707763885
{'estimator__reg_param': 0.1},0.5844828394600243,0.007035352100677996,10,0.5899031811894883,0.584237165582068,0.5813541297412265,0.580599647266314,0.5813953488372093,0.5795574288724974,0.5959271168274384,0.5862552594670407,0.5808488249736934,0.5777460770328102,0.578965636931621,0.5775892541534111,0.5981981981981982,0.5948644793152639,0.5857445306986592,0.568935427574171,0.5894511760513186,0.5931531531531532,0.5853658536585366,0.576105886450714,0.5948644793152639,0.5806220951018949,0.5852090032154341,0.5782714335300243,0.589185393258427,0.5831291564578229,0.5948460987831067,0.5746086956521739,0.5802776788892845,0.5872733736224671
{'estimator__reg_param': 0.2},0.5963016972674728,0.007618260592545161,9,0.6019417475728155,0.5965824665676077,0.5910251732944181,0.5949506037321625,0.5903307888040712,0.5949506037321625,0.6084381939304219,0.5954364360738863,0.5948905109489051,0.5894891583976479,0.590941768511862,0.5929978118161926,0.6092468307233407,0.6052148365773045,0.5974499089253188,0.5808318264014467,0.5986095865349433,0.6002214839424141,0.6044280442804428,0.5809935205183585,0.6044117647058823,0.5953350610884858,0.5953079178885631,0.5905653583003241,0.6053304125593282,0.5877669200144771,0.608373471656169,0.5856832971800434,0.5926196565582755,0.6046857567869096
{'estimator__reg_param': 0.3},0.6081540400602928,0.006611774105721417,8,0.6140155728587319,0.6086292478045056,0.5989544436146378,0.6059242594675666,0.6,0.6062874251497006,0.621160409556314,0.6107784431137725,0.6112580279561768,0.6039864610755923,0.6085011185682326,0.6031273268801192,0.6164956290383884,0.6167732230161715,0.6094740768370012,0.5965568862275449,0.6098385279759669,0.6117381489841986,0.6145675265553869,0.5953177257525084,0.613012410680707,0.6091910368401063,0.6066741657292838,0.603409933283914,0.6188509200150206,0.599626168224299,0.6148036253776435,0.6,0.6033771106941839,0.6122913505311077
{'estimator__reg_param': 0.4},0.6198858469545747,0.006534450895666905,7,0.6282882195958825,0.6191780821917808,0.6119631901840491,0.6140888208269525,0.6119631901840491,0.6184058529072006,0.6280606296152351,0.6213517665130568,0.6265625,0.6179992275009656,0.6218809980806143,0.617217524980784,0.6261139093374661,0.6252891287586738,0.6192660550458715,0.6077602766039185,0.6253390158853158,0.6231038506417736,0.6263650546021841,0.6065699006875478,0.6245668078552176,0.6250980392156863,0.6176357335386985,0.6159116863342216,0.63121387283237,0.6117103235747303,0.6224961479198767,0.6128663875142748,0.6113033448673587,0.6270058708414873
{'estimator__reg_param': 0.5},0.6328607148536146,0.006197317471791207,6,0.6427727451752658,0.6325955734406439,0.6228729719034428,0.6255402750491159,0.630659253375695,0.6334125098970704,0.6366174710809733,0.633122028526149,0.6351242983159583,0.6355661881977671,0.638768258981445,0.629996042738425,0.6386890487609912,0.6379585326953748,0.6334125098970704,0.6205269366889501,0.637125748502994,0.632,0.6409328508242863,0.6211228896741264,0.6339533043134151,0.6327775518503457,0.6317875544986128,0.6304604486422668,0.6457505957108817,0.6250497017892644,0.6349206349206349,0.6260257913247362,0.6258935663224782,0.6403861625100563
{'estimator__reg_param': 0.6},0.6449907065303777,0.0057778985531056065,5,0.6579591836734694,0.647451963241437,0.6347897774113768,0.6384364820846905,0.6385442514474773,0.6476112699060841,0.6465730800990916,0.6471316549731737,0.6485809682804674,0.6480263157894737,0.6499382969971206,0.6434711420384773,0.652605459057072,0.645721372467962,0.6428864288642886,0.6354679802955665,0.6506821000413394,0.6452410383189122,0.6511046269278866,0.6341066341066341,0.6439704675963905,0.6436102910164487,0.6425339366515838,0.6441642944286295,0.6551297898640297,0.6409202958093673,0.6467213114754098,0.6392842618950793,0.6378244746600742,0.6492320464923205
{'estimator__reg_param': 0.7},0.6539754444116881,0.006704145258600791,4,0.6706484641638225,0.6527596697088223,0.6471852170176192,0.6473347547974414,0.6462731581214993,0.6538789428815004,0.6523605150214592,0.6566265060240963,0.6568457538994801,0.655483870967742,0.6538131962296486,0.6462063086104007,0.6634865568083261,0.660629581716257,0.654389721627409,0.6484174508126604,0.6666666666666666,0.6517047906776003,0.6597312527091461,0.6421940928270042,0.6533622559652928,0.6523266022827041,0.6532361765966567,0.6485799067401441,0.6652249134948097,0.6496539792387543,0.660958904109589,0.6472573839662448,0.6462467644521139,0.6557799742157284
{'estimator__reg_param': 0.8},0.6640982455404454,0.007934521022351617,2,0.6745995423340961,0.6617647058823529,0.6535648994515539,0.655408489274304,0.6515220354384371,0.6714997734481196,0.6621067031463749,0.6663656884875846,0.6678848789401554,0.6742596810933941,0.6642302421196894,0.6556053811659193,0.6715867158671587,0.667574931880109,0.6733393994540491,0.6624087591240876,0.6685210941121928,0.6547291092745638,0.6767123287671233,0.6486725663716815,0.6599450045829515,0.6654257794322941,0.6575342465753424,0.6603858232391207,0.6798892988929889,0.6591012256014526,0.6648451730418944,0.6687472135532768,0.6541284403669725,0.6705882352941176
{'estimator__reg_param': 0.9},0.6676550983348516,0.008703034765679707,1,0.6714628297362111,0.6699314397649363,0.6526829268292683,0.657843137254902,0.6529044647143543,0.6854642683519689,0.6621490803484995,0.6772946859903382,0.6627906976744186,0.6803118908382066,0.6621425109064469,0.6637764932562621,0.6755292959133432,0.6698841698841699,0.6695568400770713,0.6722358722358722,0.6695949243533431,0.6555772994129159,0.6848780487804879,0.6537186167693037,0.6595121951219513,0.6650294695481336,0.6614634146341464,0.6695568400770713,0.6810810810810811,0.6692531522793405,0.6673076923076923,0.6704761904761904,0.6663405088062623,0.6699029126213593
{'estimator__reg_param': 1.0},0.6563683538847176,0.011598508877978135,3,0.6517083120856706,0.6541471048513302,0.6511627906976745,0.660455486542443,0.6443429731100964,0.671414038657172,0.6354755784061696,0.6676829268292683,0.6489795918367347,0.6745258841619682,0.6428935303107488,0.6568228105906314,0.6738683127572016,0.6506147540983607,0.6632756866734486,0.6579085654230163,0.6553846153846153,0.6449948400412797,0.683076923076923,0.6324269889224572,0.6557711950970377,0.6518365235385412,0.6472690148034712,0.6530194472876152,0.6625450798557445,0.6673407482305359,0.659217877094972,0.6666666666666666,0.6419624217118998,0.6642599277978339
